Search Parameters	Year	Mo	Dy	Date	Hr	Mn	Sec	Tsu	Vol	Location Name	Latitude	Longitude	Focal Depth (km)	Mag	MMI Int	Deaths	Death Description	Missing	Missing Description	Injuries	Injuries Description	Damage ($Mil)	Damage Description	Houses Destroyed	Houses Destroyed Description	Houses Damaged	Houses Damaged Description	Total Deaths	Total Death Description	Total Missing	Total Missing Description	Total Injuries	Total Injuries Description	Total Damage ($Mil)	Total Damage Description	Total Houses Destroyed	Total Houses Destroyed Description	Total Houses Damaged	Total Houses Damaged Description
	2006	3	10	2006-03-10	7	50	14.3			PAKISTAN:  MIRPUR DISTRICT	33.129	73.887	10	4.9		1	1			22	1							1	1			22	1						
	2006	3	14	2006-03-14	6	57	33.8	2875		INDONESIA:  SERAM	-3.595	127.214	30	6.7									2	241	3			4	1						2	241	3		
	2006	3	20	2006-03-20	19	44	25.1			ALGERIA:  NORTHERN	36.623	5.328	10	4.9		4	1			9	1			62	2	62	2	4	1			9	1			62	2		
	2006	3	25	2006-03-25	7	28	57.6			IRAN:  SOUTHERN	27.574	55.685	18	5.9		1	1			1	1		1					1	1			1	1		1				
	2006	3	28	2006-03-28	8	35	43.3			INDONESIA:  N. SUMATRA: TAPAKTUAN	3.462	97.224	30	5									1												1				
	2006	3	31	2006-03-31	1	17	0.9			"IRAN:  WESTERN:  BORUJERD, DORUD"	33.5	48.78	7	6.1		70	2			1300	4		3		3		3	70	2			1300	4		3		3		
	2006	3	31	2006-03-31	12	23	17.8			"CHINA:  JILIN PROVINCE:  JILIN, SONGYUAN"	44.624	124.122	10	4.9									1		2										1		2		
	2006	4	1	2006-04-01	10	2	19.5			TAIWAN:  T'AIT-TUNG	22.868	121.278	9	6.2						42	1		1		2							42	1		1		2		
	2006	4	4	2006-04-04	9	12	23.4			PAKISTAN:  BATGRAM	34.6	73.136	10	4.8						28	1		1		2		2					28	1		1		2		
	2006	4	6	2006-04-06	17	59	16.4			INDIA:  GUJARAT	23.322	70.477	10	5.5									1												1				
	2006	4	11	2006-04-11	0	2	41.5			GREECE:  ZAKYNTHOS	37.64	20.92	18	5.5									1												1				
	2006	4	19	2006-04-19	2	5	42.9			CHINA:  TIBET (XIZANG PROVINCE)	31.607	90.413	33	5.7									1		2										1		2		
	2006	4	20	2006-04-20	23	25	2.1			RUSSIA:  KORYAKSKIY	60.949	167.089	22	7.6						40	1	55	4		3							40	1	55	4		3		
	2006	5	3	2006-05-03	15	26	40.2	2749		TONGA ISLANDS	-20.187	-174.123	55	7.9	7					1	1		1									1	1		1				
	2006	5	4	2006-05-04	17	43	9.7			PANAMA:  BOQUETE	8.898	-82.543		4.5									1												1				
	2006	5	7	2006-05-07	6	20	53.7			IRAN:  ZARAND	30.79	56.7	14	4.1						70	2		1		1		1					70	2		1		2		
	2006	5	12	2006-05-12	8	16	56.5			INDONESIA:  SUMATRA:  KALIANDAK	-5.575	105.395	17	5.5									1		2		2								1		2		
	2006	5	26	2006-05-26	22	53	58.9			"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA"	-7.961	110.446	13	6.3		5749	4			38568	4	3100	4	127000	4	127000	4	5749	4			38568	4	3100	4	127000	4		
